強欲,ラベル_強欲,嫉妬,ラベル_嫉妬,怠惰,ラベル_怠惰,憤怒,ラベル_憤怒,暴食,ラベル_暴食,傲慢,ラベル_傲慢
まっちにもっと打席ちょうだいよ〜😭,2,@pon_WithU うらやましい席です😃👏,2,"RT @mitokuma: にんげんに恋する死神ちゃん

普段は見えないけど疲れると会える！

起きれただけで花丸💮 https://t.co/yW0OCzv4xA",2,"@PVZHJoXRF43nYkg カラス💢
あれさ、害しかないから。
ゴミは、荒らすし、パンとか泥棒されたことあるし。しかも、私の目の前で盗んだんだわ💢子ども達も公園でお菓子とか、盗まれていたし。

相手を見てやってるらしく、旦那がいるとやらないんだよ💢",2,ギャルでブスなやつの声のデカさったらもういい加減人間やめればいいのに,2,@fukuchin6666: 共産党も日教組も関係ないんですが、僕何か間違ったこと言ってます？🤔,2
"@5th_itukaaaa 😭?!天使だなんて、🥲💕嬉しすぎる、
いつかちゃにイラストレス可愛いだなんて言われたらもっと可愛くなるよう頑張らないとな(ง •̀_•́)ง",2,"@ldHYZGtwxHyMcTD 夕方から晴れてリフレッシュできた束の間、土曜日からはまた雨みたいですね😱
晴れの地域はうらやましいです🤩（暑さはいらないｗ）",2,掛け持ちで新しい仕事始めたけど疲れるな...疲れすぎて逆に眠れない...,2,あーーーーーーーーーッ💢（おこモード）,2,招かれざる客は、行かなきゃいいだけの話なのに、まだまだ花嫁花婿につきまといたいような、てかあれつきまとうだろうな。完全、ストーカー案件。モラハラストーカー。,2,"ぐみんは…
【セーラーマーキュリー】タイプです

💫穏やかで落ち着いた性格
💫目立つことが苦手
💫入念に計画を練る頭脳派
💫時に慎重になりすぎる

https://t.co/elVyccGHR7

亜美ちゃん推しなので嬉しい☿˖ ࣪⊹",2
"麺家 燻@北松戸

初訪問。

スープは粘度があり、熟成感もあってうまいし、ここのかえしの味好きだなぁ。。
甘みはあるけど、くどくなく後味スッキリ。

チャーシューもミディアムレアで柔らかく、薫香強めでめちゃうま❗️

レベル高い… https://t.co/Ei38kk6uUt",2,@P1ain_Asia あの辺こんなんわんさか生き残っててうらやましい,2,流石だ。家のことですら疲れるというのに外でも活動できているのだね。,2,"RT @tontontontoro1: 後輩が3週間ぶりにコロナから復帰したんだけど保健所から連絡が来なかったから長々休んでたけど実は5日で治ってたらしく
「なら出てこれただろ！もう盆は終わったんだよ！💢」って先輩にキレられててワロタwそりゃ怒られるわw",2,"いつもニコニコして怒らんと上手い言い回しが出来る母になれたらいいのにね。
ひねくれさせてしまうような育児しか出来てないのが辛い。",2,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● CODmobileって楽しいで…
● たすさん好きです!
● 現在、お世話になっていると思わ…
● ぴえん
#質問箱 #匿名質問募集中

https://t.co/TesKqaTlvL",2
"@netsuhaki_baaa それがこういうゲームのだいご味というか…！やることないよりあるほうが楽しいですよね！！！
もっと早くやっておけば！！てなるやつですね😂
大丈夫ですよ！！！その間他のことを進められるのでｗ",2,"@sakupoke_go 色違いピカ様おめでとう〜✨✨
うらやましい🥳",2,"今日から日曜まで長野へ帰省してます
久しぶりの長距離運転は疲れる…",2,RT @satoyan1208: 萩生田あたりが辞任に追い込まれてもおかしくないのに、日本の政治って？重大なる過失が軽い落ち度くらいにいつも扱われるよ。💢これが野党の立場だったら解散総選挙間違いなし。それにしても立民の攻め落としは弱いよな！,2,"どーしよう⁡可愛すぎ
⁡⁡大好き⁡な【だるまちゃんとてんぐちゃん】⁡⁡
⁡前から書店の棚にちびぬいより大きめのだるまちゃんがいて⁡欲しいけどなかなかのお値段で⁡😢
⁡⁡⁡が！今日別のコーナーに小さい子を発見🎵お値段も良くしかもラス… https://t.co/VE3f37DYTQ",2," @prMlT0jee5bdC56: #codモバイルクラメン募集 
クラン『アロガント』クラマスの「パパさん」です。当クランは、みんなでcodを少しの向上心と無限大のエンジョイで楽しむクランです。強さを求めたり、スクリムを望む方は回れ右です♪
メンバーのみんとちゃんが作っ…",2
"RT @_sin_music: 僕はZIPANG OPERAが大好きです
人もパフォーマンスも音楽も。

ANCHORの皆と、もっともっと胸の高鳴る方に。終わることのない僕らの航海に付いてきてください。

ZIPANG OPERA ｢STEER THE SHIP｣
よろしくお願…",2,"@sara_uruki @6chan_AV 
やっぱり素敵な二人だね❤❤
うらやましい！
ずーっと、ずーっと、二人が今のままの関係でいられますように❗👏🙏

絵文字になぜに🍌が…💕💕💕😅",2,"よし、ジム終わり！
スタミナないなあ…。すぐ疲れる。",2,"@_edelste_ 世の中ルールの無いものが勝つ
みたいな事になってて😱😱😱

言葉にならないです💢",2,"RT @S_R_NEW_KATANA: こんなの見たくなかったなぁ・・・・

あえてお店の名前は伏せますが　せっかく地元で頑張ってくれてるお店なのに・・

一部の心無い人のせいで皆が迷惑するんだよ。

再販なんかふらっと寄ってあったら　めっけもの　くらいのスタンスで良いでしょ？…",2,"@Std_montblanc うんうん。
好きな事を実行してこその創作ですよね。
あ、るまんろ先生のどエッチな新作、私は心から楽しみにしてます。",2
"RT @takumi01010101: 最近｢BOOOST｣と言うグループを知ってめちゃ聴いてます
このバンドのボーカル

｢野村礼輝｣さんソロでも活動しててエモくて切なくて締め付けられる様な歌声。聴くほどハマって行くのでちょっと紹介。

えっ！？
何でもっと有名になってないの…",2,RT @buppan_hzk: 本当は教えたくない。月収16万。週5勤務。残業あり。ボーナスなしの元OL。お世辞にも余裕のある生活じゃなかった。給料は生活費で消える。休日に贅沢をする余裕はゼロ。先日も29歳OLが1日5時間のスキマ作業で月10万達成。正直20代で知ってるのはうら…,2,"@FF1416767259 どれだけ寝ても疲労が取れにくくなってきてるんで、ちょっと調べてみますかねぇ。
寝すぎると逆に体が疲れるｗ",2,最初こそ「桃井タロウ💢」ばかりだったおともたちも「それでこそ桃井タロウだよね〜😊」になったので、基本的に「タロウさ〜ん🥰」のジロウの中に「お前はマジで気に入らんし、俺が一番なのだが？？？😤」のジロウがいてそれが普通に出てくるのは、桃井タロウにとっても良いことな気がする。,2,RT @yoi_otorihiki01: 別にフェスに対して一生このままでとは全然思ってない。早く以前のように戻りたいよ。3年かかってやっと開催できるところまで持ち返したのに、もう我慢の限界や！って治りかけの傷口を掻きむしるような行為の何が正論なのかわからないだけ。しかも他人を…,2,@_SYU_RU_MI_ ありがとうですにゃん！,2
"片足突っ込んだオタクすべてを容赦なく自分の沼に引きずり込んで離さないのさすがすぎる👏

京本大我さま最高ですね！！！！
もっとお願いします！！！
#きょも美",2,"RT @ingram_hp: #メガドラミニ
明日セガ本社でお酒を飲みながら鑑賞できるセガ社員がうらやましい😊",2,自分をとりつくろったうえに嫌われたら、自分をことさらに嫌いになる。 「嫌われない人」を演じようが演じまいが、どちらにせよ嫌う人も好きになってくれる人もいる。他人の問題でしかない事にそこにまで自分の思い煩いを寄せるのは大変と疲れるだけだ。,2,ウソつき高市辞めろー❗💢,2,"RT @mihoimiofficial: そういう話ではないですね。
女性は自分の好きに生きていいはずなのにやたらと「笑いなよ」と周りから強制されることが幼い時からずっとある。
私たちは自分のしたい様に感情を表現していいはずなのに笑顔しか受け付けてもらえない。
私のクールな顔を…",2,"@kabu_erimo やはりカメラはいいんですねぇ😊
早くiPhoneにしたくなってきました😂

おー！めっちゃ軽くなりましたね✨
あと一息😊",2
RT @yamatogokorous: 「日本大好き」とか「日本凄い」という言葉にパヨクは発狂する。しかし我々は日本人であることを誇りに思う時にとても清々しく幸せな気分になる事を知っている。国を愛する事は自己肯定感に繋がる。自分がもっと好きになる。他国を否定しなくても良い。自分…,2,@clover36947883 うらやましい✨,2,"ずっと隣にいても気持ちとかも疲れるから外に出ててもいいですよって先生達も言ってくれたから一時帰宅ε=(･o･  ) ﾌｩ
でも家にいてもそわそわしちゃうけど。

あたしもおばぁちゃんみたいにみんなに見守られてお空にいきたいな☁︎︎*.",2,"@hisa_seto 水脈よ水脈だってば💢

コワ😱",2,RT @gomomomomomomo: 昨日黄金糖大好きっていったら公式さんにいいねされたから喜んで見に行ったらフォロワー57人だったしオンラインストアBASEだし2019/6/25から開設してたみたいなのに微塵も知らなかったのでもう全員に伝われ https://t.co/c3…,2," @yuukamiya68: VRChatオフ会――
フレA「あ、かみやさん。はいコレ、買い出し頼まれてたコミケの同人誌です」
僕「お。あざます」
フレA「ファンにお使いさせる作者ってなんすか」
僕「その作者をオフ会に呼びつけてるファンであるおまえこそなんなんですか？」",2
"RT @ShineeOnewHolic: オニュ「今回のソロコンサートに演出家はいません。全部会社と自分でこれはどう？ これはどう？ と会議して決めました」👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏
そうだったんだ。コンサート後のアンケートさらにもっと丁寧に書こうっと
#オニュ #オ…",2,"#メガドラミニ
明日セガ本社でお酒を飲みながら鑑賞できるセガ社員がうらやましい😊",2,"ツイフィ更新しました！（4項目）

追加項目を簡単に説明すると「タメ口苦手」です。最近完全タメ口多くて疲れるので敬語使えない方はブロックなりブロ解なりで自衛してください！

こちらも自衛していきますんで！！！！！！！！！！！",2,"ようやく
『カルト宗教信者が💢』
と、言える世の中がきて良かった。
なぜ、普通に暮らしてる者が遠慮せなアカンねん！！
ボケ！！💢",2,ワンオクは心の底から「自分で主催したフェスでやればいいのに」っていう気持ち。ルールの是非だけじゃなくて、色んな方面に配慮してこの状態でフェスを開催するために3年間どれだけの人達が心を砕いて労力を割いてようやく実現してるかが全然わかってないよな。,2,@nourah1369 non メルカリ招待さんおはようございます！もーにんぐこーひーはいかがですか？,2
"RT @AikiHashimoto: 「効率さえ上げれば2024年以降も運賃上げる必要ない」と豪語してた企業の親会社が商品値上げしたとのニュース見て、「いやいや身内にも値段上げさせずに効率上げさせろよ」とひとり眉間にめっちゃ深いシワ寄せている。
「ドラはもっといなくなってもいい…",2,"@saki00lucky はい？本当？うらやましいです。。。私は明日までとても忙しいです🥺🥺🥺🥺 私の代わりにゆっくり休んでください ! ! !

네? 진짜요? 너무 부러워요... 저는 내일까지 매우 바빠요🥺🥺🥺🥺 저 대신 푹 쉬어주세요!!!",2,"多分グループでやったであろう仕事を
あれ俺が作ったんやっての
聞くの疲れる",2,中共国人的冷漠😒举世无双💢 https://t.co/5NrejUeZN6,2,"最強で最高の夏休みを好きなこと過ごせて本当に幸せ
ななちゃん本当にありがとう！
次の定期公演のタイトルが
〜5年後も10年後もこんな毎日が続けばいいのにね〜
だけど
と本当にななちゃんにこうして会える日々が続いたらいいのにねと
心… https://t.co/3TKyJ3LKhj",2,"@mibloomh はじめまして。双極１型です。
躁はとても気持ちが良いんですけどね、金使いはヤバいですね。
私は最高で１ヵ月で１６０万円使いました。
買ったものは今も大事に使っているので、無駄だとは思いませんが、貯蓄が少なかった… https://t.co/k0qJz4kZHC",2
"宏樹と言い佳穂と言い、お前らまだまだこんなもんじゃねぇだろ！？って煽られてますよオレらw
木曜もっと熱くなれって事だわ。",2,"@kabu_mind うぁー♬😆
うらやましい💓

いつか行ってみたいところだ☺️",2,スキット形式の方がいい派は「とあるシーンに差し掛かった所で情景が説明されているとする、私はそれをきっちり頭の中で想像してからじゃないと先に進めない。文字だけの場合だと時間がかかるし疲れるから、取っ掛かりとして上に絵があった方がありがたい（要約）」との事でなるほどなーと思った　メモ,2,"#アブノーマル嗜好
#R18嗜好の赤い再生ボタンなりきりさんと繋がりたい  

いいまんコはっけ〜ん♥オラ゛っ💕せんちょ〜の海🏴‍☠賊🍌💢💢💢喰らえ゛ッッ💕💕💕💕

(こちら左専🍌有/同業者、デカ乳💕むっちりボディ持、🔥、🍫、女幹部優遇💓/仕様書確認推奨/創作.異性NG)",2,RT @gomomomomomomo: 昨日黄金糖大好きっていったら公式さんにいいねされたから喜んで見に行ったらフォロワー57人だったしオンラインストアBASEだし2019/6/25から開設してたみたいなのに微塵も知らなかったのでもう全員に伝われ https://t.co/c3…,2,@Chijisen: それは誰か名前を出せとまるで当たり屋みたいなツイートが普段やり取りのない方から来ます。言葉遣いが乱暴で無礼な方はブロック致しますね❣️自己紹介の上dmでください。参院選終盤に自民都連の都議や、都政担当記者からLINEなどのスクショなど此方は証拠を見せ…,2
"@ma_taro_v そうそう、中のお花も全部DAISO😋
リボンはもっとすごい人いっぱいだから、見様見真似でもっと作ってみたいと思う今日この頃🤔",2,"@matuda_rina チグハグしんどいwwwwww
そっかそうだよね発送時期おかしいもんね笑 興奮しちゃった笑笑
にしてもすごい、絶対高いじゃん😹
わーうらやましい！！",2,読んだけどね、もうね…mtgはいつもストーリーがこうなんだよ…。悲劇を挟まないと話を書けない。この年になるとそーいうフィクションを摂取するの疲れるのよリアルで十分に別れとか経験するから。,2,꺼져💢 https://t.co/dbZngQW9Rb,2,"@nagachan_hirano おはようー！！☀️
わたし見た瞬間息出来なくなった😂
似合いすぎてた〜！かっこよかったし、かっこよかったし、かっこよかった🫣（笑）髪長いしギャルな感じなのにそれさえ上品に見える不思議🥺💙

いつも… https://t.co/tzEAevahRb",2,"すごく面白い訴訟だ（御無礼
これはぜひとも、最高裁まで争って欲しい。

「不自由展」は昭和天皇への「ヘイト」　実行委側は争う姿勢、名古屋地裁 https://t.co/Taco2D914i @Sankei_newsより",2
"@_O43O_love_ 心配かけてごめんねー！
でも本当に体は元気だから大丈夫✨
もっともっと元気になれるようにがんばる！👊✨",2,"@bell_0218mini ベルしゃんはマッサージしなくても
小顔ですよ 🥺 うらやましい 🥺🥺",2,"日本に二人がいる！！！
夜移動は疲れるよね
明日までにゆっくり休めますように

#BKPPtoJAPAN",2,"#萩生田光一議員の辞職を求めます 
#萩生田光一は統一教会の骨格 
#萩生田光一は統一協会とズブズブ 

子供に示しがつかないので嘘ばかりつくのやめろ！
そして議員も即刻やめろ！恥を知りなさい💢 https://t.co/6VQC8jNT2B",2,色白なのに、膝とち○こが真っ黒なの悩み🤦‍♂️いい美白ケアないかな,2,"ひととおり面通しの挨拶が終わった頃、藍楸瑛が清苑にまっすぐ向かってきた。
「清苑公子、無礼は承知ですが、よろしければ私と手合わせしてくださいませんか」",2
@TknGbf バケモノランキングみるよりもっとためになるランキングがあるとおもいます！！！！！,2,"@DsCSA8RPfcF2Ukq ぽんさんと私、多分同じ年です！プロフ見させてもらいました。しかもぽんさん、Coccoと誕生日一緒じゃないですか！うらやましい！
Coccoファンはいい人ばかりですよ！",2,@roadbike_cat でもバイクも結構疲れる❗❗,2,"#ولي_العهد

💢 اسأل الله لكل من ساهم في سدادها او نشرها ان تحرم وجه عن النار وترزقه اضعافا في ماله وتسعده بالدنيا وا… https://t.co/TLxXCbni5n",2,"RT @westinghouse565: こいつら地獄に墜ちればいいのに。
というかこういうのを垂れ流すテレビ局も頭おかしいよな。 https://t.co/mIwwP6L2O7",2,@Chijisen: それは誰か名前を出せとまるで当たり屋みたいなツイートが普段やり取りのない方から来ます。言葉遣いが乱暴で無礼な方はブロック致しますね❣️自己紹介の上dmでください。参院選終盤に自民都連の都議や、都政担当記者からLINEなどのスクショなど此方は証拠を見せ…,2
"RT @Izumo012: 東京が盛り上がる!?6000円の宿が1000円に!都民割「もっとTokyo」9月1日販売再開【ひるおび】（TBS NEWS DIG Powered by JNN） - Yahoo!ニュース

これを見て最初に来たのが⁉️⁉️⁉️

プラネット💖💖💖…",2,@sugarkick93 うらやましい時代です‼️‼️,2,"@__non30_7 ほんと絶対視力いいとか嘘なのでしっかり度入ったメガネかけてファンサして??笑
もう私らがまくり疲れるぐらい消費お願いしますね😂😂",2,"RT @erumasu_tw: マーヴ「ちょっとスライダー貸して」
アイス「俺に言わずに本人に聞け」
スライ「どうした」
マーヴ「今度の花火大会で肩車してほしい」
スライ「いいぜ、お前いつも背伸びしてるもんなw」
マーヴ「僕じゃなくてブラッドリーをだよ💢」",2,RT @okenorukkuro: ラッシュのタブレットのマウスウォッシュ、スキです。結構小さめなのに一粒口に含んだらシュワシュワと清涼感が広がって、お水でブクブクしたらかなりのスッキリ。そのスッキリが結構持続するし、持ち歩きにもいい。氷河のようなクールな息のキャッチコピー、ス…,2," @p7d4tQ21mLBXvAt: @magosaki_ukeru 政府が世論を無礼ている理由はおそらく、
自信がなくて怯えているのかも。",2
RT @MeiShirato: もっと近くで見てくれる？♡ https://t.co/tSpPsq2OEF,2,@1412626san うらやましいぜこんちくしょー！,2,普段通りに過ごせないのって例え休みでも疲れるよね,2,"案の定やってない😇
呑気に鼻歌歌いよってムカつく😇💢
ほんと最悪…
おっても何もせんならどっか行って😇",2,RT @KInGs_mAn92: 姪っ子、2歳半になっても全然喋らないし表情筋ないんか？ってくらい無表情。保育園での時間も長いし、義妹たちも食事中以外ずっとマスクしてるからだろうな…発語が遅いの心配するならマスクの影響しっかり考えたらいいのに。,2,"何もしないので勝ちとか負けとかないと思うので
今日、苦しまなくてなくなったのかと拝みたく行かせていただきました
急に行って申し訳ございません
平穏に最後を暮らしたいだけなので
みなさんの生活を壊すようなことは致しませんので
どうか… https://t.co/oyNkmtH1ST",2
